date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,26,23,0.0,8.8,5,97,06:31 PM,06:08 AM,07:18 AM,07:15 PM,23,26,26,24,2,92,94,0.0,1009,23,2,311,1,Malaysia
2018-01-01 03:00:00,26,23,0.0,8.8,5,97,06:31 PM,06:08 AM,07:18 AM,07:15 PM,22,26,26,23,5,89,95,0.2,1008,23,2,337,3,Malaysia
2018-01-01 06:00:00,26,23,0.0,8.8,5,97,06:31 PM,06:08 AM,07:18 AM,07:15 PM,23,26,26,24,3,36,93,0.0,1009,23,10,335,2,Malaysia
2018-01-01 09:00:00,26,23,0.0,8.8,5,97,06:31 PM,06:08 AM,07:18 AM,07:15 PM,23,29,29,26,5,47,81,0.4,1010,26,5,312,4,Malaysia
2018-01-01 12:00:00,26,23,0.0,8.8,5,97,06:31 PM,06:08 AM,07:18 AM,07:15 PM,23,30,30,27,2,71,80,0.0,1009,26,10,268,2,Malaysia
2018-01-01 15:00:00,26,23,0.0,8.8,5,97,06:31 PM,06:08 AM,07:18 AM,07:15 PM,24,28,28,25,3,67,93,0.4,1007,24,5,117,2,Malaysia
2018-01-01 18:00:00,26,23,0.0,8.8,5,97,06:31 PM,06:08 AM,07:18 AM,07:15 PM,23,27,27,24,5,53,95,0.0,1008,24,2,86,3,Malaysia
2018-01-01 21:00:00,26,23,0.0,8.8,5,97,06:31 PM,06:08 AM,07:18 AM,07:15 PM,23,26,26,24,7,45,93,0.4,1009,23,5,46,4,Malaysia
2018-01-02 00:00:00,25,22,0.0,7.4,6,100,07:35 PM,07:12 AM,07:19 AM,07:16 PM,22,26,26,23,2,52,94,0.0,1009,23,10,62,1,Malaysia
2018-01-02 03:00:00,25,22,0.0,7.4,6,100,07:35 PM,07:12 AM,07:19 AM,07:16 PM,22,25,25,23,4,81,95,1.3,1008,22,10,32,3,Malaysia
2018-01-02 06:00:00,25,22,0.0,7.4,6,100,07:35 PM,07:12 AM,07:19 AM,07:16 PM,22,25,25,23,7,89,94,0.0,1008,23,2,41,5,Malaysia
