date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11 00:00:00,32,26,0.0,10.2,7,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,30,30,27,8,42,83,0.0,1010,26,10,351,5,singapore
2018-12-11 03:00:00,32,26,0.0,10.2,7,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,23,29,29,26,9,39,84,0.0,1009,26,10,334,6,singapore
2018-12-11 06:00:00,32,26,0.0,10.2,7,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,31,31,27,8,33,81,0.0,1010,27,10,347,6,singapore
2018-12-11 09:00:00,32,26,0.0,10.2,7,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,38,38,32,6,38,61,0.0,1010,32,10,353,5,singapore
2018-12-11 12:00:00,32,26,0.0,10.2,7,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,25,39,39,32,5,34,65,0.0,1009,32,10,290,4,singapore
2018-12-11 15:00:00,32,26,0.0,10.2,7,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,25,37,37,31,10,39,70,6.0,1007,30,7,348,5,singapore
2018-12-11 18:00:00,32,26,0.0,10.2,7,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,31,31,27,16,90,85,0.0,1009,27,10,348,10,singapore
2018-12-11 21:00:00,32,26,0.0,10.2,7,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,30,30,27,13,32,84,0.1,1010,26,10,347,9,singapore
2018-12-12 00:00:00,29,26,0.0,10.3,7,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,30,30,26,13,58,86,0.0,1010,26,10,330,9,singapore
2018-12-12 03:00:00,29,26,0.0,10.3,7,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,29,29,26,15,48,86,0.6,1009,26,9,329,9,singapore
2018-12-12 06:00:00,29,26,0.0,10.3,7,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,30,30,27,10,66,84,0.0,1010,26,10,307,7,singapore
2018-12-12 09:00:00,29,26,0.0,10.3,7,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,34,34,29,11,49,74,3.8,1011,29,7,296,6,singapore
2018-12-12 12:00:00,29,26,0.0,10.3,7,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,23,34,34,30,9,82,69,0.0,1010,29,10,341,8,singapore
2018-12-12 15:00:00,29,26,0.0,10.3,7,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,23,33,33,30,8,41,67,0.0,1009,29,10,354,7,singapore
2018-12-12 18:00:00,29,26,0.0,10.3,7,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,23,31,31,27,8,60,80,0.0,1010,27,10,6,5,singapore
2018-12-12 21:00:00,29,26,0.0,10.3,7,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,23,30,30,27,8,73,83,0.1,1011,26,10,327,5,singapore
2018-12-13 00:00:00,29,25,0.0,8.9,6,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,23,29,29,26,9,73,83,0.0,1010,26,10,342,6,singapore
2018-12-13 03:00:00,29,25,0.0,8.9,6,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,23,29,29,26,11,46,85,0.1,1010,25,10,326,7,singapore
2018-12-13 06:00:00,29,25,0.0,8.9,6,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,23,30,30,26,7,61,83,0.0,1011,26,10,324,5,singapore
2018-12-13 09:00:00,29,25,0.0,8.9,6,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,24,35,35,30,8,43,70,1.3,1012,29,10,311,6,singapore
2018-12-13 12:00:00,29,25,0.0,8.9,6,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,24,34,34,29,11,54,75,0.0,1011,29,10,354,9,singapore
2018-12-13 15:00:00,29,25,0.0,8.9,6,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,24,33,33,28,21,61,77,0.0,1009,28,10,14,12,singapore
2018-12-13 18:00:00,29,25,0.0,8.9,6,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,24,30,30,26,12,75,85,0.0,1011,26,10,3,8,singapore
2018-12-13 21:00:00,29,25,0.0,8.9,6,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,24,30,30,26,16,46,85,0.0,1011,26,10,11,10,singapore
2018-12-14 00:00:00,28,25,0.0,8.9,6,43,12:17 PM,No moonset,06:58 AM,07:01 PM,24,29,29,26,13,73,88,0.0,1011,25,10,340,9,singapore
2018-12-14 03:00:00,28,25,0.0,8.9,6,43,12:17 PM,No moonset,06:58 AM,07:01 PM,23,28,28,25,17,81,89,1.2,1010,25,10,327,10,singapore
2018-12-14 06:00:00,28,25,0.0,8.9,6,43,12:17 PM,No moonset,06:58 AM,07:01 PM,24,29,29,26,10,82,87,0.0,1011,26,10,322,7,singapore
2018-12-14 09:00:00,28,25,0.0,8.9,6,43,12:17 PM,No moonset,06:58 AM,07:01 PM,24,32,32,28,15,55,76,1.1,1012,28,10,354,12,singapore
2018-12-14 12:00:00,28,25,0.0,8.9,6,43,12:17 PM,No moonset,06:58 AM,07:01 PM,24,30,30,27,20,98,84,0.0,1011,26,10,3,13,singapore
2018-12-14 15:00:00,28,25,0.0,8.9,6,43,12:17 PM,No moonset,06:58 AM,07:01 PM,24,30,30,27,18,47,84,2.3,1010,27,10,8,12,singapore
2018-12-14 18:00:00,28,25,0.0,8.9,6,43,12:17 PM,No moonset,06:58 AM,07:01 PM,24,29,29,26,9,87,89,0.0,1011,25,10,357,5,singapore
2018-12-14 21:00:00,28,25,0.0,8.9,6,43,12:17 PM,No moonset,06:58 AM,07:01 PM,24,29,29,26,10,45,91,0.1,1012,25,9,328,6,singapore
2018-12-15 00:00:00,30,25,0.0,8.9,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,29,29,25,12,74,94,0.0,1011,25,9,285,8,singapore
2018-12-15 03:00:00,30,25,0.0,8.9,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,28,28,25,8,100,93,3.5,1010,25,7,281,5,singapore
2018-12-15 06:00:00,30,25,0.0,8.9,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,28,28,25,8,100,92,0.0,1011,25,10,275,5,singapore
2018-12-15 09:00:00,30,25,0.0,8.9,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,30,30,27,6,65,85,0.1,1012,26,10,313,4,singapore
2018-12-15 12:00:00,30,25,0.0,8.9,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,36,36,30,3,49,70,0.0,1010,30,10,338,3,singapore
2018-12-15 15:00:00,30,25,0.0,8.9,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,35,35,30,2,46,71,0.2,1009,29,9,83,1,singapore
2018-12-15 18:00:00,30,25,0.0,8.9,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,30,30,27,4,79,84,0.0,1011,26,10,321,3,singapore
2018-12-15 21:00:00,30,25,0.0,8.9,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,29,29,26,8,55,86,2.2,1012,26,10,304,5,singapore
2018-12-16 00:00:00,32,25,0.0,10.3,6,58,01:43 PM,01:20 AM,06:59 AM,07:02 PM,23,29,29,26,7,100,87,0.0,1012,25,10,283,4,singapore
2018-12-16 03:00:00,32,25,0.0,10.3,6,58,01:43 PM,01:20 AM,06:59 AM,07:02 PM,23,29,29,26,6,73,87,0.1,1011,25,10,303,4,singapore
2018-12-16 06:00:00,32,25,0.0,10.3,6,58,01:43 PM,01:20 AM,06:59 AM,07:02 PM,24,30,30,27,6,50,84,0.0,1011,26,10,347,4,singapore
2018-12-16 09:00:00,32,25,0.0,10.3,6,58,01:43 PM,01:20 AM,06:59 AM,07:02 PM,24,36,36,31,5,48,64,0.0,1012,31,10,324,4,singapore
2018-12-16 12:00:00,32,25,0.0,10.3,6,58,01:43 PM,01:20 AM,06:59 AM,07:02 PM,24,39,39,33,4,38,60,0.0,1011,32,10,313,4,singapore
2018-12-16 15:00:00,32,25,0.0,10.3,6,58,01:43 PM,01:20 AM,06:59 AM,07:02 PM,24,35,35,30,8,35,74,3.2,1009,29,7,23,4,singapore
2018-12-16 18:00:00,32,25,0.0,10.3,6,58,01:43 PM,01:20 AM,06:59 AM,07:02 PM,24,29,29,26,11,77,86,0.0,1011,26,10,28,7,singapore
2018-12-16 21:00:00,32,25,0.0,10.3,6,58,01:43 PM,01:20 AM,06:59 AM,07:02 PM,24,29,29,26,8,46,86,0.2,1012,26,9,10,5,singapore
2018-12-17 00:00:00,32,25,0.0,10.3,7,65,02:26 PM,02:03 AM,06:59 AM,07:02 PM,24,29,29,26,10,45,87,0.0,1011,25,10,349,6,singapore
2018-12-17 03:00:00,32,25,0.0,10.3,7,65,02:26 PM,02:03 AM,06:59 AM,07:02 PM,23,28,28,26,10,35,88,0.0,1011,25,10,334,6,singapore
2018-12-17 06:00:00,32,25,0.0,10.3,7,65,02:26 PM,02:03 AM,06:59 AM,07:02 PM,23,30,30,27,4,55,83,0.0,1013,26,10,222,3,singapore
2018-12-17 09:00:00,32,25,0.0,10.3,7,65,02:26 PM,02:03 AM,06:59 AM,07:02 PM,23,35,35,31,7,27,61,0.0,1013,31,10,202,6,singapore
2018-12-17 12:00:00,32,25,0.0,10.3,7,65,02:26 PM,02:03 AM,06:59 AM,07:02 PM,23,38,38,33,7,29,56,0.0,1011,32,10,188,6,singapore
2018-12-17 15:00:00,32,25,0.0,10.3,7,65,02:26 PM,02:03 AM,06:59 AM,07:02 PM,23,36,36,31,10,24,60,0.0,1009,31,10,163,8,singapore
2018-12-17 18:00:00,32,25,0.0,10.3,7,65,02:26 PM,02:03 AM,06:59 AM,07:02 PM,23,31,31,28,4,100,77,0.0,1011,27,10,84,3,singapore
2018-12-17 21:00:00,32,25,0.0,10.3,7,65,02:26 PM,02:03 AM,06:59 AM,07:02 PM,24,31,31,27,8,48,82,0.1,1012,27,10,23,5,singapore
2018-12-18 00:00:00,31,26,0.0,11.6,6,72,03:11 PM,02:48 AM,07:00 AM,07:03 PM,24,30,30,27,9,100,84,0.0,1012,26,10,5,6,singapore
2018-12-18 03:00:00,31,26,0.0,11.6,6,72,03:11 PM,02:48 AM,07:00 AM,07:03 PM,24,29,29,26,10,65,87,0.1,1011,26,10,357,6,singapore
2018-12-18 06:00:00,31,26,0.0,11.6,6,72,03:11 PM,02:48 AM,07:00 AM,07:03 PM,24,30,30,27,10,78,87,0.0,1012,26,10,352,7,singapore
2018-12-18 09:00:00,31,26,0.0,11.6,6,72,03:11 PM,02:48 AM,07:00 AM,07:03 PM,24,33,33,28,12,47,80,2.3,1012,28,10,11,8,singapore
2018-12-18 12:00:00,31,26,0.0,11.6,6,72,03:11 PM,02:48 AM,07:00 AM,07:03 PM,24,38,38,32,8,24,64,0.0,1011,31,10,76,7,singapore
2018-12-18 15:00:00,31,26,0.0,11.6,6,72,03:11 PM,02:48 AM,07:00 AM,07:03 PM,24,36,36,31,11,25,65,0.1,1009,30,10,78,10,singapore
2018-12-18 18:00:00,31,26,0.0,11.6,6,72,03:11 PM,02:48 AM,07:00 AM,07:03 PM,23,31,31,28,12,42,77,0.0,1011,27,10,65,8,singapore
2018-12-18 21:00:00,31,26,0.0,11.6,6,72,03:11 PM,02:48 AM,07:00 AM,07:03 PM,23,30,30,27,11,45,78,0.0,1012,27,10,68,7,singapore
2018-12-19 00:00:00,33,26,0.0,10.2,7,80,03:59 PM,03:35 AM,07:00 AM,07:03 PM,23,30,30,27,9,46,82,0.0,1012,26,10,45,6,singapore
2018-12-19 03:00:00,33,26,0.0,10.2,7,80,03:59 PM,03:35 AM,07:00 AM,07:03 PM,24,30,30,27,9,22,84,0.0,1011,26,10,29,6,singapore
2018-12-19 06:00:00,33,26,0.0,10.2,7,80,03:59 PM,03:35 AM,07:00 AM,07:03 PM,24,31,31,28,7,22,81,0.0,1012,27,10,3,6,singapore
